iter	Passed	Remaining
0	16	16664
1	35	17521
2	48	15979
3	57	14261
4	66	13153
5	74	12287
6	82	11648
7	89	11055
8	96	10603
9	103	10257
10	111	10018
11	118	9760
12	126	9605
13	134	9476
14	142	9353
15	150	9234
16	158	9146
17	165	9054
18	173	8958
19	181	8874
20	189	8816
21	196	8749
22	205	8714
23	213	8675
24	221	8645
25	228	8576
26	236	8522
27	244	8490
28	253	8483
29	262	8485
30	272	8506
31	280	8485
32	288	8454
33	296	8433
34	305	8412
35	313	8402
36	323	8428
37	332	8427
38	341	8414
39	350	8413
40	360	8424
41	368	8410
42	377	8410
43	387	8413
44	396	8409
45	404	8396
46	413	8389
47	426	8461
48	437	8483
49	446	8486
50	457	8509
51	466	8513
52	476	8516
53	486	8519
54	497	8540
55	505	8528
56	516	8545
57	526	8549
58	536	8550
59	545	8540
60	553	8524
61	562	8505
62	570	8488
63	579	8480
64	588	8463
65	597	8456
66	606	8439
67	614	8427
68	623	8407
69	631	8390
70	639	8372
71	647	8351
72	656	8336
73	664	8316
74	673	8301
75	681	8280
76	689	8270
77	698	8257
78	706	8235
79	714	8222
80	722	8202
81	731	8186
82	739	8165
83	747	8152
84	755	8132
85	763	8119
86	772	8102
87	780	8089
88	789	8076
89	797	8061
90	805	8047
91	814	8034
92	822	8025
93	831	8015
94	840	8005
95	848	7989
96	857	7983
97	866	7979
98	876	7976
99	885	7965
100	894	7961
101	904	7959
102	912	7950
103	922	7944
104	931	7935
105	940	7932
106	950	7932
107	959	7925
108	968	7919
109	977	7907
110	985	7894
111	993	7879
112	1002	7865
113	1010	7855
114	1019	7842
115	1027	7828
116	1035	7816
117	1044	7803
118	1052	7790
119	1060	7776
120	1068	7762
121	1076	7748
122	1085	7737
123	1093	7723
124	1099	7694
125	1107	7680
126	1116	7671
127	1124	7659
128	1133	7650
129	1141	7638
130	1149	7625
131	1157	7611
132	1165	7599
133	1173	7584
134	1182	7573
135	1190	7560
136	1197	7545
137	1205	7531
138	1213	7518
139	1221	7504
140	1230	7493
141	1238	7482
142	1246	7468
143	1253	7453
144	1261	7440
145	1269	7426
146	1277	7413
147	1285	7399
148	1292	7384
149	1301	7374
150	1309	7361
151	1317	7349
152	1325	7336
153	1333	7326
154	1341	7314
155	1349	7303
156	1357	7290
157	1365	7278
158	1373	7265
159	1381	7253
160	1389	7241
161	1397	7231
162	1405	7216
163	1414	7208
164	1421	7195
165	1429	7184
166	1437	7172
167	1446	7162
168	1455	7156
169	1464	7152
170	1474	7148
171	1483	7143
172	1492	7135
173	1501	7127
174	1509	7116
175	1517	7106
176	1526	7096
177	1534	7085
178	1543	7081
179	1553	7077
180	1562	7071
181	1572	7066
182	1582	7063
183	1590	7055
184	1600	7050
185	1610	7046
186	1619	7040
187	1628	7034
188	1638	7031
189	1647	7024
190	1656	7017
191	1666	7011
192	1674	6999
193	1682	6989
194	1690	6978
195	1698	6967
196	1706	6957
197	1715	6948
198	1723	6936
199	1731	6924
200	1739	6913
201	1748	6905
202	1755	6893
203	1765	6887
204	1773	6876
205	1781	6867
206	1790	6859
207	1798	6848
208	1806	6838
209	1815	6828
210	1823	6818
211	1832	6809
212	1839	6795
213	1847	6785
214	1855	6775
215	1863	6765
216	1872	6754
217	1880	6745
218	1888	6734
219	1896	6722
220	1904	6711
221	1912	6702
222	1920	6692
